H.pylori.1	A.baumannii.1
H.pylori.1	A.odontolyticus.1
H.pylori.1	B.cereus.1
H.pylori.1	B.vulgatus.1
H.pylori.1	B.vulgatus.2
H.pylori.1	B.vulgatus.4
H.pylori.1	B.vulgatus.5
H.pylori.1	B.vulgatus.7
H.pylori.1	C.beijerinckii.1
H.pylori.1	C.beijerinckii.3
H.pylori.1	C.beijerinckii.4
H.pylori.1	D.radiodurans.1
H.pylori.1	E.coli.1
H.pylori.1	E.faecalis.1
H.pylori.1	E.faecalis.2
H.pylori.1	H.pylori.1
H.pylori.1	L.gasseri.1
H.pylori.1	L.monocytogenes.1
H.pylori.1	N.meningitidis.1
H.pylori.1	P.acnes.1
H.pylori.1	P.aeruginosa.1
H.pylori.1	P.aeruginosa.2
H.pylori.1	P.gingivalis.1
H.pylori.1	R.sphaeroides.1
H.pylori.1	S.agalactiae.1
H.pylori.1	S.aureus.1
H.pylori.1	S.aureus.5
H.pylori.1	S.epidermidis.1
H.pylori.1	S.epidermidis.2
H.pylori.1	S.epidermidis.5
H.pylori.1	S.mutans.1
H.pylori.1	S.pneumoniae.1
